product name,price
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Surge Protector/TVGuard+ Wall Mounting Bracket+Extension Cable","KSh 19,295"
Lyons LES4304W 43” 2K FHD Frameless Android TV With Bluetooth -Black (1YR WRTY),"KSh 16,999"
Hisense 43A6K 43 Inch 4K UHD Smart TV (2YRs WRTY),"KSh 29,599"
"Amtec 50"" Full HD Vidaa OS Smart TV - Black (1YR WRTY)","KSh 28,299"
"Amtec 43L12 43"" Inch TV Smart Android TV Bluetooth Enabled +FREE Bracket+Extension","KSh 18,695"
"Amtec 43L12,43 inch TV Frameless Bluetooth Enabled Full HD Smart Android Television, Inbuilt Decoder for local channels, Netflix Youtube App Store, Wi-Fi Connectivity  + a FREE WALL MOUNTING BRACKET+ HEAVY DUTY EXTENSION CABLE","KSh 18,895"
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity","KSh 18,395"
Globalstar Tv Digital Frameless 43 Inch - Black 43UK50,"KSh 15,899"
"Amtec 43L12,43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Surge Protector/TVGuard+ HEAVY DUTY EXTENSION CABLE","KSh 18,995"
"TCL P635- 43"" Inch,  4K ULTRA  HD Smart Google/Android TV,NETFLIX,DECODER+POWER GUARD+EXTENSION","KSh 30,799"
"Amtec 55L12 - 55"" Frameless 4K UHD Smart Android TV, 1.5GB RAM + 8GB ROM - Black (1YR WRTY)","KSh 35,165"
"Vitron HTC6588USWO, 65"" 4K Smart Frameless TV, Wi-Fi/Netflix, 1YR WRTY","KSh 65,934"
"Amtec 43L12,43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Wall Bracket+ HEAVY DUTY EXTENSION CABLE","KSh 18,895"
"Amtec 43""inch FHD Frameless BLUETOOTH Smart/Android TV InbuiltDecoder/(1 YEAR WARRANTY+Bracket","KSh 18,690"
"Amtec 43"" Inches,FRAMELESS, BLUETOOTH-ENABLED, SMART ANDROID TV,NETFLIX+TILT BRACKET","KSh 18,999"
Globalstar Tv Digital Frameless 40 Inch - Black 40UK50,"KSh 14,899"
TCL 65V6C 65 Inch Smart 4K HDR Google TV,"KSh 71,699"
"Amtec  43"" BLUETOOTH-FHD Smart& DIGITAL TV Android 11 TV,Youtube +BRACKET+32GB FLASH DISK","KSh 19,290"
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity+ a FREE HDMI Cable+ Wall Mounting Bracket","KSh 18,695"
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 17,255"
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 10,599"
"Vision Plus VP8865KV - 65"" 4K TV with Vidaa OS + Free Wall Mount (2YRs WRTY)","KSh 65,934"
"Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth,  (1YR WRTY).","KSh 9,999"
Lyons LST4304W 43”INCH Smart Android Frameless 2K Full HD TV -  Bluetooth(1YR WRTY),"KSh 16,850"
"Vitron HTC3200S 32"" Inches Bluetooth Connectivity TV Smart Android Television With Inbuilt Wi-Fi Connectivity, Inbuilt Decoder Netflix Youtube App Store + GIFTS (1 YEAR WARRANTY )","KSh 12,099"
"Vitron 32""Inch Bluetooth/Frameless Smart Android TV Inbuilt Decoder+FREE GIFTS","KSh 11,890"
Hikers 32'' Digital Frameless HD LED TV-Black,"KSh 8,798"
"Vitron Vitron43"" HTC4388FS 43"" Inch TV Frameless, Bluetooth Enabled, Full HD ,Smart Android Television, Inbuilt Decoder For Local Channels,Wi-fi Connectivity, Netflix Youtube App Store (1 YEAR WARRANTY) +FREE TV GUARD+BRACKET+EXTENSION","KSh 19,595"
